Airline Name,IATA,ICAO,Callsign,Commenced Operations,Ceased Operations,Notes
ADC Airlines,,Z7,ADK,ADCO,1984,2006
Aero Contractors of Nigeria,,NG,NIG,,1960,2002
African Chartered Services,,,AFY,AFRICA CHARTERED,2005,2005
African International Airway,,,,,1971,1972
African Trans Air,,,FTS,,1992,1995
Afrijet Airlines,,6F,FRJ,AFRIJET,1998,2009
Afrimex,,,,,1994,2003
Air Atlantic Cargo,,,ANI,NIGALANTIC,1994,2000
Air Midwest,,,VTY,VICTORY,2002,2010
Air Nigeria,,VK,ANP,NICON FLIERS,2010,2012
Air Vanni,,,,,1978,1978
Airstream Aviation,,,,,2013,2017
Al-Dawood Air,,,LIE,AL-DAWOOD AIR,2001,2005
Albarka Air,,F4,NBK,AL-AIR,1999,2005
Alheri Airlines,,,,,1987,1987
Amako Air,,,OBK,AMAKO AIR,2002,2004
Amed Air,,,OBI,AMEDAIR,1994,1996
Arab Wings Nigeria,,,,,1981,1981
Arax Airlines,,QY,RXA,,1977,1988
Associated Aviation,,SCD,,ASSOCIATED,1996,2019
Axiom Air,,,EAN,,2009,2011
Bako Air,,,OGJ,,2004,2006
Bakoji Airlines Services,,,OGJ,BAKO AIR,1999,2000
Barnax Air,,,BAL,,1991,1992
Bellview Airlines,,B3,BLV,BELLVIEW AIRLINES,1992,2010
Capital Airlines,,,NCP,CAPITAL SHUTTLE,2003,2010
Central Airlines,,,,,1980,1982
Chanchangi Airlines,,5B,NCH,CHANGCHANGI,1994,2012
Chrome Air Service,,,CHO,CHROME AIR,1999,2006
City Link Airlines,,,CRG,COURAGE,1993,1996
Concord Airlines,,,CND,AIR CONCORD,1986,1990s
Dala Air Services,,,DLR,DALA AIR,2000,2001
Das Air,,,,,2004,2006
Dasab Airlines,,,DSQ,Dasab Air,2001,2006
Delta Air Charter,,,,,1969,1977
Discovery Air,,DO,DCV,DISCOVERYJET,2014,2015
Dominion Air,,,DAC,DOMINION AIR,2013,2013
Earth Airlines,,,ERX,EART AIR,2002,2007
EAS Airlines,,OW,EXW,ECHOLINE,1993,2006
EAS Cargo Airlines,,HW,ESY,,1987,1992
EAS Executive Aviation Services,,,,,2007,2009
Easy Link Aviation,,,FYE,FLY ME,2001,2007
Eco Air,,,ECQ,SKYBRIDGE,2004,2004
Elders Colonial Airways,,,,,1935,1940
Embassy Airlines,,,EAM,EMBASSY AIR,?,?
Emma-Nik Aviation Service,,,EMM,EMMANIKAIR,1999,2000
Executive Airlines Services,,,,,1993,2004
Executive Jet Services,,,,,2005,2020
Express Airways Nigeria,,,,,1985,2007
