Airline,Country,City,Airport
Aero Contractors,Nigeria ,Abuja ,Nnamdi Azikiwe International Airport
Aero Contractors,Nigeria ,Asaba ,Asaba International Airport
Aero Contractors,Nigeria ,Benin City ,Benin Airport
Aero Contractors,Nigeria ,Calabar ,Magaret Ekpo International Airport (as Cally Air)
Aero Contractors,Nigeria ,Kano ,Mallam Aminu Kano Airport
Aero Contractors,Nigeria ,Lagos ,Murtala Mohammed International Airport
Aero Contractors,Nigeria ,Port Harcourt ,Port Harcourt International Airport
Aero Contractors,Nigeria ,Sokoto ,Sadiq Abubakar III International Airport
Aero Contractors,Nigeria ,Yola ,Yola Airport
Air Peace,Nigeria,Yola,Yola Airport
Air Peace,Nigeria,Uyo,Victor Attah International Airport
Air Peace,Nigeria,Owerri,Sam Mbakwe International Cargo Airport
Air Peace,Nigeria,Port Harcourt,Port Harcourt International Airport
Air Peace,Nigeria,Warri,Osubi Airport
Air Peace,Nigeria,Abuja,Nnamdi Azikiwe International Airport
Air Peace,Nigeria,Lagos,Murtala Muhammed International Airport
Air Peace,Nigeria,Calabar,Margaret Ekpo International Airport
Air Peace,Nigeria,Kano,Mallam Aminu Kano International Airport
Air Peace,Nigeria,Makurdi,Makurdi Airport
Air Peace,Nigeria,Kaduna,Kaduna International Airport
Air Peace,Nigeria,Ilorin,Ilorin International Airport
Air Peace,Nigeria,Ibadan,Ibadan Airport
Air Peace,Nigeria,Gombe,Gombe Lawanti International Airport
Air Peace,Nigeria,Benin City,Benin Airport
Air Peace,Nigeria,Asaba,Asaba International Airport
Air Peace,Nigeria,Onitsha,Anambra International Cargo Airport
Air Peace,Nigeria,Akure,Akure Airport
Air Peace,Nigeria,Enugu,Akanu Ibiam International Airport
Arik Air,Nigeria,Abuja,Nnamdi Azikiwe International Airport
Arik Air,Nigeria,Benin City,Benin Airport
Arik Air,Nigeria,Ibadan,Ibadan Airport
Arik Air,Nigeria,,Maiduguri International Airport
Arik Air,Nigeria,Kano,Mallam Aminu Kano Airport
Arik Air,Nigeria,Lagos,Murtala Mohammed International Airport
Arik Air,Nigeria,Owerri,Sam Mbakwe International Cargo Airport
Arik Air,Nigeria,Port Harcourt,Port Harcourt International Airport
Arik Air,Nigeria,Sokoto,Sadiq Abubakar III International Airport
Arik Air,Nigeria,Yola,Yola Airport
Azman Air,Nigeria,Abuja ,"Nnamdi Azikiwe International Airport,"
Azman Air,Nigeria,Asaba ,Asaba International Airport
Azman Air,Nigeria,Benin City ,Benin Airport
Azman Air,Nigeria,Birnin Kebbi ,Sir Ahmadu Bello International Airport
Azman Air,Nigeria,Gombe ,Gombe Lawanti International Airport
Azman Air,Nigeria,Kaduna ,
Azman Air,Nigeria,Kano ,Mallam Aminu Kano Airport
Azman Air,Nigeria,Lagos ,Murtala Mohammed International Airport
Azman Air,Nigeria,Maiduguri ,Maiduguri International Airport
Azman Air,Nigeria,Owerri ,Sam Mbakwe International Cargo Airport
Azman Air,Nigeria,Port Harcourt ,Port Harcourt International Airport
Dana Air,Nigeria,Abuja ,Nnamdi Azikiwe International Airport
Dana Air,Nigeria,Enugu ,Akanu Ibiam International Airport
Dana Air,Nigeria,Lagos ,Murtala Muhammed International Airport 
Dana Air,Nigeria,Owerri ,Sam Mbakwe International Cargo Airport
Dana Air,Nigeria,Port Harcourt ,Port Harcourt International Airport
Green Africa Airways,Nigeria,Abuja,"Nnamdi Azikiwe International Airport,"
Green Africa Airways,Nigeria,Akure,Akure Airport
Green Africa Airways,Nigeria,Benin,Benin Airport
Green Africa Airways,Nigeria,Enugu,Akanu Ibiam International Airport
Green Africa Airways,Nigeria,Ibadan,Ibadan Airport
Green Africa Airways,Nigeria,Ilorin,Ilorin International Airport
Green Africa Airways,Nigeria,Lagos,Murtala Muhammed International Airport
Green Africa Airways,Nigeria,Owerri,Sam Mbakwe Airport
Green Africa Airways,Nigeria,Port Harcourt,Port Harcourt International Airport
Ibom Air,Nigeria,Abuja,Nnamdi Azikiwe International Airport
Ibom Air,Nigeria,Calabar,Margaret Ekpo International Airport
Ibom Air,Nigeria,Enugu,Akanu Ibiam International Airport
Ibom Air,Nigeria,Lagos,Murtala Muhammed International Airport
Ibom Air,Nigeria,Port Harcourt,Port Harcourt International Airport
Ibom Air,Nigeria,Uyo,Victor Attah International Airport
Ibom Air,Nigeria,Yenagoa,Bayelsa International Airport
Max Air,Nigeria,Abuja,Nnamdi Azikiwe International Airport
Max Air,Nigeria,Bauchi,Bauchi State Airport
Max Air,Nigeria,Benin City,Benin Airport
Max Air,Nigeria,Kano,Mallam Aminu Kano International Airport
Max Air,Nigeria,Katsina,Umaru Musa Yar'adua Airport
Max Air,Nigeria,Lagos,Murtala Muhammed International Airport
Max Air,Nigeria,Maiduguri,Maiduguri International Airport
Max Air,Nigeria,Owerri,Sam Mbakwe Airport
Max Air,Nigeria,Port Harcourt,Port Harcourt International Airport
Max Air,Nigeria,Sokoto,Sadiq Abubakar III International Airport
Max Air,Nigeria,Yola,Yola Airport
Overland Airways,Nigeria,Abuja,Nnamdi Azikiwe International Airport Hub
Overland Airways,Nigeria,Akure,Akure Airport
Overland Airways,Nigeria,Asaba,Asaba International Airport
Overland Airways,Nigeria,Bauchi,Sir Abubakar Tafawa Balewa International Airport
Overland Airways,Nigeria,Dutse,Dutse International Airport
Overland Airways,Nigeria,Ibadan,Ibadan Airport
Overland Airways,Nigeria,Ilorin,Ilorin International Airport
Overland Airways,Nigeria,Jalingo,Jalingo Airport
Overland Airways,Nigeria,Lagos,Murtala Mohammed International Airport
